id,type,heartRate,comment,name,birthdate,fedWith,legalId,locatedAt,ownedBy,phenologicalCondition,reproductiveCondition,sex,species,location_type,lng,lat,weight,healthCondition,calvedBy,siredBy,providedBy
urn:ngsi-ld:Animal:cow001,Animal,51,Please check hooves.,Beany,2021-08-17T00:00:00.000Z,Grass,M-bull001-Beany,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,maleAdult,active,Male,dairy cattle,Point,13.34973,52.51139,752,healthy,,,urn:ngsi-ld:Device:cow001
urn:ngsi-ld:Animal:cow002,Animal,54,,Trotter,2022-04-12T00:00:00.000Z,Grass,F-cow002-Trotter,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.34806,52.51186,373,,,,urn:ngsi-ld:Device:cow002
urn:ngsi-ld:Animal:cow003,Animal,51,,Petal,2019-01-13T00:00:00.000Z,Grass,F-cow003-Petal,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.35509,52.5152,404,,,,urn:ngsi-ld:Device:cow003
urn:ngsi-ld:Animal:cow004,Animal,54,,River,2022-08-15T00:00:00.000Z,Grass,F-cow004-River,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.35458,52.51367,326,,,,urn:ngsi-ld:Device:cow004
urn:ngsi-ld:Animal:cow006,Animal,52,Needs to see the vet.,Twilight,2017-03-06T00:00:00.000Z,Oats,F-cow006-Twilight,urn:ngsi-ld:Building:barn002,urn:ngsi-ld:Person:person001,femaleAdult,noStatus,Female,dairy cattle,Point,13.36984,52.51634,434,healthy,,,urn:ngsi-ld:Device:cow006
urn:ngsi-ld:Animal:cow010,Animal,55,,Tulip,2023-05-12T00:00:00.000Z,Grass,F-cow010-Tulip,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.34856,52.51121,232,,,,urn:ngsi-ld:Device:cow010
urn:ngsi-ld:Animal:cow009,Animal,54,,Juicey,2020-03-09T00:00:00.000Z,Grass,F-cow009-Juicey,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.34896,52.51713,411,,,,urn:ngsi-ld:Device:cow009
urn:ngsi-ld:Animal:cow008,Animal,50,,Pollen,2022-06-07T00:00:00.000Z,Grass,F-cow008-Pollen,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,inHeat,Female,dairy cattle,Point,13.34824,52.51844,431,,,,urn:ngsi-ld:Device:cow008
urn:ngsi-ld:Animal:cow007,Animal,55,,Diamond,2022-06-05T00:00:00.000Z,Grass,F-cow007-Diamond,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.35599,52.51567,480,,,,urn:ngsi-ld:Device:cow007
urn:ngsi-ld:Animal:cow005,Animal,70,,Sun,2022-06-09T00:00:00.000Z,Grass,F-cow005-Sun,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.35569,52.51515,339,,,,urn:ngsi-ld:Device:cow005
urn:ngsi-ld:Animal:cow011,Animal,52,,Oats,2018-04-01T00:00:00.000Z,Grass,F-cow011-Oats,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,inCalf,Female,dairy cattle,Point,13.34898,52.5175,490,,,,urn:ngsi-ld:Device:cow011
urn:ngsi-ld:Animal:cow012,Animal,54,,Rain,2019-09-19T00:00:00.000Z,Grass,F-cow012-Rain,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,inactive,Female,dairy cattle,Point,13.35273,52.51365,340,,,,urn:ngsi-ld:Device:cow012
urn:ngsi-ld:Animal:cow019,Animal,52,,Eenie,2017-05-06T00:00:00.000Z,Hay,F-cow019-Eenie,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.3542,52.51364,330,,,,urn:ngsi-ld:Device:cow019
urn:ngsi-ld:Animal:cow018,Animal,55,,Rice,2022-04-07T00:00:00.000Z,Grass,F-cow018-Rice,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.35293,52.5135,399,,,,urn:ngsi-ld:Device:cow018
urn:ngsi-ld:Animal:cow017,Animal,54,,Fisher,2024-05-16T00:00:00.000Z,Grass,F-cow017-Fisher,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleYoung,active,Female,dairy cattle,Point,13.35538,52.51587,210,,,,urn:ngsi-ld:Device:cow017
urn:ngsi-ld:Animal:cow016,Animal,51,,Lacey,2019-03-11T00:00:00.000Z,Grass,F-cow016-Lacey,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,inCalf,Female,dairy cattle,Point,13.35446,52.51585,485,,,,urn:ngsi-ld:Device:cow016
urn:ngsi-ld:Animal:cow015,Animal,51,,Button,2023-08-21T00:00:00.000Z,Grass,F-cow015-Button,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person001,femaleAdult,inHeat,Female,dairy cattle,Point,13.34823,52.51711,352,,,,urn:ngsi-ld:Device:cow015
urn:ngsi-ld:Animal:cow014,Animal,55,,Stamps,2020-02-17T00:00:00.000Z,Grass,F-cow014-Stamps,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.35249,52.51334,457,,,,urn:ngsi-ld:Device:cow014
urn:ngsi-ld:Animal:cow013,Animal,53,,Silver,2018-05-21T00:00:00.000Z,Hay,F-cow013-Silver,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.34984,52.51133,376,,,,urn:ngsi-ld:Device:cow013
urn:ngsi-ld:Animal:cow021,Animal,50,,Ferdinand,2018-03-23T00:00:00.000Z,Grass,M-bull021-Ferdinand,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,maleAdult,active,Male,dairy cattle,Point,13.34956,52.51178,757,,,,urn:ngsi-ld:Device:cow021
urn:ngsi-ld:Animal:cow020,Animal,54,,Chalky,2024-01-13T00:00:00.000Z,Grass,F-cow020-Chalky,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleYoung,active,Female,dairy cattle,Point,13.34893,52.51841,260,,,,urn:ngsi-ld:Device:cow020
urn:ngsi-ld:Animal:cow023,Animal,50,,Happy,2024-05-04T00:00:00.000Z,Grass,F-cow023-Happy,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleYoung,inactive,Female,dairy cattle,Point,13.35342,52.51328,246,,,,urn:ngsi-ld:Device:cow023
urn:ngsi-ld:Animal:cow022,Animal,54,,Feather,2023-09-06T00:00:00.000Z,Grass,F-cow022-Feather,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleAdult,inHeat,Female,dairy cattle,Point,13.34833,52.51691,360,,,,urn:ngsi-ld:Device:cow022
urn:ngsi-ld:Animal:cow024,Animal,52,,Fluffy,2024-06-24T00:00:00.000Z,Grass,F-cow024-Fluffy,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleYoung,active,Female,dairy cattle,Point,13.35414,52.51585,258,,,,urn:ngsi-ld:Device:cow024
urn:ngsi-ld:Animal:cow025,Animal,51,,Bug,2017-05-14T00:00:00.000Z,Hay,F-cow025-Bug,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.35575,52.51506,314,,,,urn:ngsi-ld:Device:cow025
urn:ngsi-ld:Animal:cow026,Animal,54,,Opal,2017-06-09T00:00:00.000Z,Grass,F-cow026-Opal,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,inCalf,Female,dairy cattle,Point,13.35453,52.51597,429,,,,urn:ngsi-ld:Device:cow026
urn:ngsi-ld:Animal:cow027,Animal,54,,Fresian,2023-09-19T00:00:00.000Z,Grass,F-cow027-Fresian,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.35582,52.51524,295,,,,urn:ngsi-ld:Device:cow027
urn:ngsi-ld:Animal:cow029,Animal,53,,Clover,2023-07-24T00:00:00.000Z,Grass,F-cow029-Clover,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person002,femaleAdult,inHeat,Female,dairy cattle,Point,13.34957,52.51114,295,,,,urn:ngsi-ld:Device:cow029
urn:ngsi-ld:Animal:cow028,Animal,52,,Star,2021-08-10T00:00:00.000Z,Grass,F-cow028-Star,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.34816,52.51118,367,,,,urn:ngsi-ld:Device:cow028
urn:ngsi-ld:Animal:cow033,Animal,54,,Hero,2021-09-10T00:00:00.000Z,Grass,F-cow033-Hero,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.34895,52.51799,327,,,,urn:ngsi-ld:Device:cow033
urn:ngsi-ld:Animal:cow031,Animal,50,,Grape,2021-05-18T00:00:00.000Z,Hay,F-cow031-Grape,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person001,femaleAdult,inCalf,Female,dairy cattle,Point,13.3552,52.51593,300,,,,urn:ngsi-ld:Device:cow031
urn:ngsi-ld:Animal:cow030,Animal,52,,Flower,2018-08-26T00:00:00.000Z,Grass,F-cow030-Flower,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.35438,52.51541,383,,,,urn:ngsi-ld:Device:cow030
urn:ngsi-ld:Animal:cow037,Animal,55,,Marble,2020-01-11T00:00:00.000Z,Hay,F-cow037-Marble,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.34942,52.5118,347,,,,urn:ngsi-ld:Device:cow037
urn:ngsi-ld:Animal:cow036,Animal,51,,Cream,2019-02-24T00:00:00.000Z,Grass,F-cow036-Cream,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:Person:person002,femaleAdult,inHeat,Female,dairy cattle,Point,13.34872,52.51852,401,,,,urn:ngsi-ld:Device:cow036
urn:ngsi-ld:Animal:cow035,Animal,50,,Jersey,2021-06-22T00:00:00.000Z,Grass,F-cow035-Jersey,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.35399,52.51391,404,,,,urn:ngsi-ld:Device:cow035
urn:ngsi-ld:Animal:cow034,Animal,51,,Cloud,2024-05-06T00:00:00.000Z,Grass,F-cow034-Cloud,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleYoung,inactive,Female,dairy cattle,Point,13.35436,52.51513,220,,,,urn:ngsi-ld:Device:cow034
urn:ngsi-ld:Animal:cow032,Animal,55,,Citrus,2021-04-08T00:00:00.000Z,Grass,F-cow032-Citrus,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.34898,52.51147,411,,,,urn:ngsi-ld:Device:cow032
urn:ngsi-ld:Animal:cow038,Animal,52,,Sugar,2019-01-11T00:00:00.000Z,Grass,F-cow038-Sugar,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:Person:person002,femaleAdult,active,Female,dairy cattle,Point,13.35476,52.51563,453,,,,urn:ngsi-ld:Device:cow038
urn:ngsi-ld:Animal:cow039,Animal,54,,Pepsi,2019-02-18T00:00:00.000Z,Grass,F-cow039-Pepsi,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:Person:person001,femaleAdult,active,Female,dairy cattle,Point,13.35336,52.51383,380,,,,urn:ngsi-ld:Device:cow039
