id,type,description,category,controlledProperty,supportedProtocol,humidity,heartRate,location_type,lng,lat,status,batteryLevel,deviceState,controlledAsset,deviceModel
urn:ngsi-ld:Device:cow001,Device,Beany's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,51,Point,13.34973,52.51139,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow001,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow002,Device,Trotter's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,54,Point,13.34806,52.51186,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow002,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow003,Device,Petal's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,51,Point,13.35509,52.5152,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow003,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow004,Device,River's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,54,Point,13.35458,52.51367,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow004,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow006,Device,Twilight's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,52,Point,13.36984,52.51634,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow006,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow010,Device,Tulip's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,55,Point,13.34856,52.51121,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow010,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow009,Device,Juicey's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,54,Point,13.34896,52.51713,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow009,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow008,Device,Pollen's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,50,Point,13.34824,52.51844,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow008,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow007,Device,Diamond's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,55,Point,13.35599,52.51567,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow007,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow005,Device,Sun's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,70,Point,13.35569,52.51515,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow005,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow011,Device,Oats's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,55,Point,13.34898,52.5175,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow011,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow012,Device,Rain's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,55,Point,13.35273,52.51365,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow012,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow019,Device,Eenie's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,55,Point,13.3542,52.51364,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow019,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow018,Device,Rice's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,52,Point,13.35293,52.5135,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow018,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow017,Device,Fisher's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,54,Point,13.35538,52.51587,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow017,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow016,Device,Lacey's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,52,Point,13.35446,52.51585,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow016,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow015,Device,Button's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,55,Point,13.34823,52.51711,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow015,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow014,Device,Stamps's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,54,Point,13.35249,52.51334,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow014,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow013,Device,Silver's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,51,Point,13.34984,52.51133,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow013,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow021,Device,Ferdinand's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,51,Point,13.34956,52.51178,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow021,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow020,Device,Chalky's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,55,Point,13.34893,52.51841,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow020,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow023,Device,Happy's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,53,Point,13.35342,52.51328,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow023,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow022,Device,Feather's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,50,Point,13.34833,52.51691,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow022,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow024,Device,Fluffy's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,54,Point,13.35414,52.51585,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow024,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow025,Device,Bug's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,50,Point,13.35575,52.51506,DRINKING,0.8,OK,urn:ngsi-ld:Animal:cow025,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow026,Device,Opal's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,54,Point,13.35453,52.51597,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow026,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow027,Device,Fresian's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,52,Point,13.35582,52.51524,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow027,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow029,Device,Clover's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,51,Point,13.34957,52.51114,AT REST,0.4,OK,urn:ngsi-ld:Animal:cow029,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow028,Device,Star's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,54,Point,13.34816,52.51118,DRINKING,0.8,OK,urn:ngsi-ld:Animal:cow028,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow033,Device,Hero's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,54,Point,13.34895,52.51799,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow033,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow031,Device,Grape's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,53,Point,13.3552,52.51593,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow031,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow030,Device,Flower's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,52,Point,13.35438,52.51541,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow030,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow037,Device,Marble's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,54,Point,13.34942,52.5118,GRAZING,0.6,OK,urn:ngsi-ld:Animal:cow037,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow036,Device,Cream's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,50,Point,13.34872,52.51852,GRAZING,0.6,OK,urn:ngsi-ld:Animal:cow036,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow035,Device,Jersey's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,52,Point,13.35399,52.51391,GRAZING,0.6,OK,urn:ngsi-ld:Animal:cow035,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow034,Device,Cloud's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,55,Point,13.35436,52.51513,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow034,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow032,Device,Citrus's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,51,Point,13.34898,52.51147,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow032,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow038,Device,Sugar's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,50,Point,13.35476,52.51563,GRAZING,0.8,OK,urn:ngsi-ld:Animal:cow038,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow039,Device,Pepsi's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,51,Point,13.35336,52.51383,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow039,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:cow040,Device,Spots's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,55,Point,13.34832,52.51688,AT REST,0.8,OK,urn:ngsi-ld:Animal:cow040,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig001,Device,Bubblegum's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,64,Point,13.35073,52.51839,AT REST,0.6,OK,urn:ngsi-ld:Animal:pig001,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig002,Device,Fuchshia's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,61,Point,13.35006,52.51886,AT REST,0.6,OK,urn:ngsi-ld:Animal:pig002,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig003,Device,Flamingo's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,62,Point,13.35009,52.5182,FORAGING,0.6,OK,urn:ngsi-ld:Animal:pig003,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig004,Device,Salmon's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,63,Point,13.35058,52.51867,FORAGING,0.6,OK,urn:ngsi-ld:Animal:pig004,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig007,Device,Coral's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,64,Point,13.35099,52.51867,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig007,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig008,Device,Magenta's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,60,Point,13.35024,52.51844,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig008,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig009,Device,Cherry's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,65,Point,13.35096,52.51813,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig009,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig006,Device,Peach's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,61,Point,13.35049,52.51841,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig006,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig005,Device,Rouge's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,62,Point,13.35069,52.51815,WALLOWING,0.8,OK,urn:ngsi-ld:Animal:pig005,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig012,Device,Blush's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,63,Point,13.35073,52.51865,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig012,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig010,Device,Carnation's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,65,Point,13.35056,52.51821,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig010,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig011,Device,Strawberry's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,63,Point,13.35098,52.5185,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig011,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig013,Device,Mauve's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,60,Point,13.35084,52.51833,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig013,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig018,Device,Grape's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,60,Point,13.35093,52.5185,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig018,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig019,Device,Raspberry's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,62,Point,13.3502,52.51864,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig019,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig016,Device,Tango's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,63,Point,13.35046,52.51885,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig016,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig017,Device,Lavender's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,64,Point,13.35038,52.51887,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig017,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig014,Device,Orchid's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,64,Point,13.35049,52.51834,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig014,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig015,Device,Cotton's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",ul20,,62,Point,13.35023,52.51811,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig015,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig021,Device,Watermelon's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,60,Point,13.35056,52.51878,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig021,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig020,Device,Wine's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,61,Point,13.35093,52.51841,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig020,urn:ngsi-ld:DeviceModel:Collar
